SERIALNO,NP,TYPE,ACR,BDSP,BLD,ELEP,FULP,GASP,HFL,RMSP,TEN,VALP,YBL,R18,R60
70,4,1,House on less than one acre,2,One-family house detached,70,2,3,Wood,4,Rented,NA,1939 or earlier,1 or more,none
163,2,1,House on less than one acre,2,One-family house detached,100,600,3,"Fuel oil, kerosene, etc.",7,Owned with mortgage or loan,225000,1939 or earlier,none,none
178,1,1,House on less than one acre,3,One-family house detached,60,2,110,Utility gas,8,Owned free and clear,315000,1939 or earlier,none,1 or more
243,2,1,House on less than one acre,4,One-family house detached,80,2,20,Utility gas,8,Owned free and clear,200000,1950 to 1959,none,1 or more
300,1,1,House on less than one acre,2,Mobile home or trailer,150,2,3,Electricity,3,Owned free and clear,95000,1990 to 1999,none,1 or more
603,3,1,House on less than one acre,3,One-family house detached,200,2,20,Electricity,7,Owned with mortgage or loan,90000,1939 or earlier,1 or more,none
743,2,1,House on less than one acre,3,One-family house detached,120,2,3,Electricity,4,Owned free and clear,200000,1960 to 1969,none,none
803,2,1,NA,2,10-19 Apartments,60,2,3,Electricity,4,Rented,NA,2000 to 2004,none,none
847,2,1,House on one to less than ten acres,2,Mobile home or trailer,70,2,3,Wood,4,Owned with mortgage or loan,225000,1960 to 1969,none,1 or more
882,2,1,House on less than one acre,2,One-family house detached,70,2,50,"Fuel oil, kerosene, etc.",6,Owned with mortgage or loan,370000,1950 to 1959,none,none
946,8,1,House on less than one acre,7,One-family house attached,330,2,230,Utility gas,11,Rented,NA,1950 to 1959,none,1 or more
982,2,1,House on one to less than ten acres,2,One-family house detached,210,150,3,Electricity,7,Owned with mortgage or loan,350000,1939 or earlier,none,1 or more
1030,2,1,NA,1,50 or more apartments,80,2,3,Electricity,2,Rented,NA,2008,none,none
1069,2,1,House on less than one acre,3,One-family house attached,70,2,3,Electricity,6,Rented,NA,1970 to 1979,none,none
1116,1,1,House on less than one acre,2,Mobile home or trailer,90,2,3,Electricity,6,Owned free and clear,18000,1990 to 1999,none,1 or more
1117,4,1,House on less than one acre,3,One-family house detached,170,2,40,Utility gas,5,Owned with mortgage or loan,185000,1960 to 1969,1 or more,none
1130,2,1,House on one to less than ten acres,4,One-family house detached,170,350,3,Wood,7,Owned free and clear,175000,1970 to 1979,none,1 or more
1182,3,1,House on less than one acre,3,One-family house detached,40,2,40,Utility gas,5,Owned with mortgage or loan,303000,1970 to 1979,1 or more,none
1193,1,1,NA,2,2 Apartments,90,2,3,Electricity,4,Rented,NA,1980 to 1989,none,1 or more
1254,1,1,House on less than one acre,2,One-family house detached,40,2,20,Utility gas,6,Owned with mortgage or loan,310000,1939 or earlier,none,1 or more
1297,3,1,House on one to less than ten acres,3,Mobile home or trailer,170,2,3,Electricity,9,Owned with mortgage or loan,100000,1990 to 1999,none,1 or more
1377,2,1,House on less than one acre,3,One-family house detached,40,10,40,Utility gas,6,Owned with mortgage or loan,300000,1960 to 1969,none,none
1388,2,1,House on less than one acre,3,One-family house detached,50,2,70,Utility gas,7,Owned with mortgage or loan,400000,1939 or earlier,none,1 or more
1411,2,1,NA,2,50 or more apartments,50,2,3,Electricity,5,Rented,NA,1939 or earlier,1 or more,none
1603,1,1,House on less than one acre,2,One-family house detached,270,2,3,Electricity,4,Owned with mortgage or loan,53000,1939 or earlier,none,none
1778,1,1,NA,1,20-49 Apartments,50,2,3,Electricity,3,Rented,NA,1980 to 1989,none,1 or more
1793,2,1,House on one to less than ten acres,4,One-family house detached,100,2,3,Wood,7,Owned free and clear,535000,1960 to 1969,none,1 or more
1807,2,1,House on less than one acre,2,One-family house detached,40,2,60,Utility gas,5,Owned with mortgage or loan,100000,1939 or earlier,none,none
1823,2,1,NA,2,5-9 Apartments,110,2,3,Electricity,3,Rented,NA,1980 to 1989,none,none
2067,1,1,NA,1,10-19 Apartments,40,2,3,Electricity,4,Rented,NA,2010,none,1 or more
2096,1,1,House on less than one acre,3,One-family house detached,50,800,3,Wood,6,Owned with mortgage or loan,150000,1960 to 1969,none,1 or more
2181,2,1,House on one to less than ten acres,3,One-family house detached,90,2,3,Wood,6,Owned free and clear,300000,2010,none,1 or more
2369,4,1,House on less than one acre,3,One-family house detached,270,2,3,Wood,7,Rented,NA,1939 or earlier,none,none
2377,1,1,House on ten or more acres,2,Mobile home or trailer,260,2,3,Electricity,5,Owned free and clear,500000,1970 to 1979,none,none
2416,4,1,House on less than one acre,3,One-family house detached,180,2,3,Electricity,7,Rented,NA,1990 to 1999,1 or more,none
2488,1,1,House on less than one acre,2,One-family house detached,80,2,3,Electricity,5,Owned free and clear,160000,1960 to 1969,none,1 or more
2522,4,1,House on less than one acre,4,One-family house detached,140,2,50,Utility gas,8,Owned with mortgage or loan,515000,2011,1 or more,none
2533,2,1,House on ten or more acres,3,One-family house detached,280,2,3,Electricity,5,Owned with mortgage or loan,400000,1990 to 1999,none,1 or more
2692,2,1,House on ten or more acres,3,One-family house detached,150,450,3,Utility gas,10,Owned free and clear,650000,1939 or earlier,none,1 or more
2739,2,1,House on one to less than ten acres,2,One-family house detached,240,2,10,Electricity,6,Owned free and clear,300000,1990 to 1999,none,1 or more
2759,2,1,House on one to less than ten acres,3,One-family house detached,180,600,3,Wood,6,Owned with mortgage or loan,400000,1970 to 1979,none,1 or more
2780,4,1,House on less than one acre,3,One-family house detached,100,2,60,Utility gas,5,Owned with mortgage or loan,500000,1950 to 1959,1 or more,none
2873,5,1,House on less than one acre,4,One-family house detached,250,2,3,Electricity,6,Rented,NA,1970 to 1979,1 or more,none
3045,3,1,NA,2,50 or more apartments,60,2,3,Electricity,3,Rented,NA,1950 to 1959,1 or more,none
